rank_current_score,key,current_score,golden_score,current_clean,golden_clean,current_safe,golden_safe,current_attack,golden_attack,current_cosine,golden_cosine,current_proxy,golden_proxy
1,"{'component': 'channel', 'layer': 29, 'index': 2823}",-0.0035297791473567486,-0.0010525798425078392,0.0006444454193115234,0.0009217262268066406,0.0004496574401855469,0.0010175704956054688,0.0043990532867610455,0.002483091317117214,-0.2945556640625,-0.31884765625,0.014934539794921875,0.0077877044677734375
4,"{'component': 'channel', 'layer': 31, 'index': 7124}",-0.001327970763668418,-0.0005826894193887711,0.0028438568115234375,0.0026865005493164062,0.0025119781494140625,0.0025615692138671875,0.005427816649898887,0.004549974575638771,0.375823974609375,0.546630859375,0.01444244384765625,0.00832366943359375
7,"{'component': 'channel', 'layer': 30, 'index': 8429}",-0.0008658143924549222,-0.00022550700668944046,0.0005345344543457031,0.0005779266357421875,0.00039124488830566406,0.0004754066467285156,0.0015959712909534574,0.0010411369657958858,0.06743621826171875,0.09746551513671875,0.0236663818359375,0.010682106018066406
17,"{'component': 'channel', 'layer': 30, 'index': 6369}",-0.00043947575613856316,-0.0007969585712999105,0.0007429122924804688,0.0012478828430175781,0.0006070137023925781,0.0010805130004882812,0.001485894899815321,0.0025850979145616293,0.060791015625,0.24090576171875,0.024442672729492188,0.010730743408203125
95,"{'component': 'channel', 'layer': 31, 'index': 6059}",6.106914952397346e-05,-0.00028346048202365637,0.0011401176452636719,0.0014200210571289062,0.000873565673828125,0.001232147216796875,0.001515831332653761,0.002319555147551,-0.4381103515625,-0.41949462890625,0.003459930419921875,0.0055294036865234375
106,"{'component': 'channel', 'layer': 31, 'index': 3492}",7.617651135660708e-05,-0.00016766232874942943,0.00047516822814941406,0.0011258125305175781,0.00044536590576171875,0.0010094642639160156,0.0006216746696736664,0.0017982069912250154,0.23419189453125,0.201507568359375,0.002654552459716797,0.008923768997192383
187,"{'component': 'channel', 'layer': 31, 'index': 3820}",0.0001429279218427837,-3.734184429049492e-05,0.0010175704956054688,0.0010333061218261719,0.0008740425109863281,0.0008478164672851562,0.0013116638292558491,0.001494556199759245,-0.36260986328125,-0.4866943359375,0.0036172866821289062,0.003070831298828125
206,"{'component': 'channel', 'layer': 30, 'index': 8030}",0.00014950009062886238,-0.0006706455023959279,0.00033092498779296875,0.0009484291076660156,0.0002595186233520508,0.0006794929504394531,0.00031118420884013176,0.00195882108528167,0.0419921875,0.204010009765625,0.007410526275634766,0.009601593017578125
415,"{'component': 'channel', 'layer': 31, 'index': 683}",0.00020035041961818933,-0.00019144290126860142,0.0009293556213378906,0.0007624626159667969,0.0008397102355957031,0.0006382465362548828,0.0011488603195175529,0.0012730287853628397,0.4249267578125,0.3878173828125,0.0027036666870117188,0.0032825469970703125
1365,"{'component': 'channel', 'layer': 31, 'index': 7015}",0.0002551131183281541,-1.2228265404701233e-05,0.000476837158203125,0.000274658203125,0.0004355907440185547,0.00031280517578125,0.00043951941188424826,0.00044328905642032623,0.2896728515625,0.35107421875,0.0015172958374023438,0.001262664794921875
2023,"{'component': 'channel', 'layer': 30, 'index': 9086}",0.00026962021365761757,-0.00012128939852118492,0.0006771087646484375,0.0007610321044921875,0.0005757808685302734,0.0008792877197265625,0.0006953789852559566,0.0013219653628766537,-0.093963623046875,-0.193115234375,0.0074005126953125,0.0068454742431640625
2081,"{'component': 'channel', 'layer': 31, 'index': 13625}",0.00027073790261056274,-8.324746886501089e-05,0.00030517578125,0.0002923011779785156,0.00026786327362060547,0.0002027750015258789,0.00016836951544974,0.00047693614760646597,0.14739990234375,0.321868896484375,0.001142263412475586,0.001481771469116211
152142,"{'component': 'channel', 'layer': 30, 'index': 5359}",0.0005424779374152422,-9.921623859554529e-05,0.0007169246673583984,0.0007722377777099609,0.00040912628173828125,0.0006515979766845703,0.00037900987081229687,0.0011972530046477914,0.1141357421875,-0.24859619140625,0.0033206939697265625,0.0048160552978515625
154540,"{'component': 'channel', 'layer': 30, 'index': 9255}",0.0005451373290270567,-0.000978944357484579,0.0005030632019042969,0.001041412353515625,0.0003470182418823242,0.0011453628540039062,0.0001314349938184023,0.002593038138002157,-0.04901123046875,-0.3648681640625,0.002681732177734375,0.007106781005859375
156353,"{'component': 'channel', 'layer': 31, 'index': 12721}",0.0005471155163832009,-2.9973452910780907e-05,0.0007760524749755859,0.0005128383636474609,0.00037741661071777344,0.00036847591400146484,0.00041764526395127177,0.0007270497735589743,0.117156982421875,0.218505859375,0.0035648345947265625,0.0033273696899414062
200329,"{'component': 'channel', 'layer': 30, 'index': 538}",0.0005960799389868043,-2.870967728085816e-05,0.0007865428924560547,0.0004125833511352539,0.0005161762237548828,0.00035321712493896484,0.00044855106534669176,0.0006179015908855945,0.20334625244140625,0.2999267578125,0.0022058486938476562,0.0020601749420166016
326305,"{'component': 'channel', 'layer': 31, 'index': 4751}",0.0007763866251480067,-0.00021977275901008397,0.0006060600280761719,0.0006330013275146484,0.0004749298095703125,0.0006213188171386719,6.713830771332141e-05,0.0011634334950940683,0.0758514404296875,0.23760986328125,0.0008851289749145508,0.004896402359008789
326886,"{'component': 'channel', 'layer': 29, 'index': 13691}",0.0007776793645462021,-0.0006323601119220257,0.0006072521209716797,0.0009293556213378906,0.0005984306335449219,0.0010099411010742188,0.0001287880731979385,0.0020666862837970257,0.01833343505859375,-0.22113037109375,0.0070247650146484375,0.00934600830078125
341043,"{'component': 'channel', 'layer': 31, 'index': 7000}",0.0008099939768726472,-0.001307182968048437,0.001430511474609375,0.001308441162109375,0.0011148452758789062,0.0011138916015625,0.001177940135676181,0.003172569930939062,0.32330322265625,0.183624267578125,0.0036434531211853027,0.017277508974075317
351115,"{'component': 'channel', 'layer': 30, 'index': 6390}",0.0008360794599866495,-0.00011885876301676035,0.0007205009460449219,0.0008697509765625,0.00044345855712890625,0.0004551410675048828,0.00010615076462272555,0.0012161802733317018,0.1277923583984375,0.3585205078125,0.0008306503295898438,0.0033922195434570312
418271,"{'component': 'channel', 'layer': 30, 'index': 6959}",0.0013874820069759153,-0.00020215613767504692,0.0018320083618164062,0.0011768341064453125,0.000888824462890625,0.0008568763732910156,0.0008889385862858035,0.0018074284307658672,0.047542572021484375,-0.1888427734375,0.018697738647460938,0.009571075439453125
